Abdelnaby, Alaa: 76001
Abdul-Aziz, Zaid: 76002
Abdul-Jabbar, Kareem: 76003
Abdul-Rauf, Mahmoud: 51
Abdul-Wahad, Tariq: 1505
Abdur-Rahim, Shareef: 949
Abernethy, Tom: 76005
Able, Forest: 76006
Abramovic, John: 76007
Acker, Alex: 101165
Ackerman, Donald: 76008
Acres, Mark: 76009
Acton, Charles: 76010
Acy, Quincy: 203112
Adams, Alvan: 76011
Adams, Don: 76012
Adams, Hassan: 200801
Adams, Jordan: 203919
Adams, Michael: 149
Adams, Steven: 203500
Addison, Rafael: 912
Adelman, Rick: 76015
Adrien, Jeff: 202399
Afflalo, Arron: 201167
Ager, Maurice: 200772
Aguirre, Mark: 76016
Ahearn, Blake: 201336
Ainge, Danny: 76017
Ajinca, Alexis: 201582
Akin, Henry: 76018
Akognon, Josh: 203006
Alabi, Solomon: 202374
Alarie, Mark: 76019
Alcorn, Gary: 76020
Aldemir, Furkan: 203128
Aldrich, Cole: 202332
Aldridge, LaMarcus: 200746
Aleksinas, Chuck: 76021
Alexander, Cliff: 1626146
Alexander, Cory: 724
Alexander, Courtney: 2042
Alexander, Gary: 76022
Alexander, Joe: 201570
Alexander, Victor: 2349
Alford, Steve: 76024
Allen, Bob: 76028
Allen, Jerome: 706
Allen, Lavoy: 202730
Allen, Lucius: 76027
Allen, Malik: 2124
Allen, Randy: 76025
Allen, Ray: 951
Allen, Tony: 2754
Allison, Odis: 76029
Allred, Lance: 200984
Allums, Darrell: 76030
Almond, Morris: 201165
Alston, Derrick: 308
Alston, Rafer: 1747
Aluma, Peter: 1824
Amaechi, John: 680
Amaya, Ashraf: 732
Aminu, Al-Farouq: 202329
Amundson, Lou: 200811
Anderegg, Bob: 76034
Andersen, Chris: 2365
Andersen, David: 2431
Anderson, Alan: 101187
Anderson, Antonio: 202079
Anderson, Cliff: 76035
Anderson, Daniel: 76036
Anderson, Derek: 1507
Anderson, Dwight: 76037
Anderson, Eric: 944
Anderson, Greg: 246
Anderson, James: 202341
Anderson, Jerome: 76040
Anderson, Justin: 1626147
Anderson, Kenny: 72
Anderson, Kim: 76041
Anderson, Kyle: 203937
Anderson, Michael: 76042
Anderson, Mitchell: 76043
Anderson, Nick: 98
Anderson, Richard: 76045
Anderson, Ron: 76046
Anderson, Ryan: 201583
Anderson, Shandon: 1000
Anderson, Willie: 335
Anderzunas, Wally: 76048
Andriuskevicius, Martynas: 101149
Anielak, Don: 76049
Ansley, Michael: 76050
Anstey, Chris: 1512
Antetokounmpo, Giannis: 203507
Anthony, Carmelo: 2546
Anthony, Greg: 21
Anthony, Joel: 201202
Antic, Pero: 203544
Araujo, Rafael: 2737
Arceneaux, Stacey: 76053
Archibald, Nate: 76054
Archibald, Robert: 2425
Ard, Jim: 76055
Arenas, Gilbert: 2240
Ariza, Trevor: 2772
Arizin, Paul: 76056
Arlauckas, Joe: 76057
Armstrong, B.J.: 769
Armstrong, Bob: 76061
Armstrong, Brandon: 2220
Armstrong, Darrell: 353
Armstrong, Hilton: 200756
Armstrong, Paul: 76060
Armstrong, Tate: 76059
Arnelle, Jesse: 76062
Arnette, Jay: 76063
Arnzen, Bob: 76064
Arroyo, Carlos: 2306
Arthur, Darrell: 201589
Arthurs, John: 76065
Asik, Omer: 201600
Askew, Vincent: 355
Askins, Keith: 173
Asmonga, Don: 76068
Atha, Richard: 76069
Atkins, Chucky: 1088
Attles, Alvin: 76070
Aubuchon, Chet: 76071
Augmon, Stacey: 278
Augustin, D.J.: 201571
Augustine, James: 200788
Austin, Ike: 1134
Austin, John: 76073
Austin, Ken: 76074
Avent, Anthony: 138
Averitt, William: 76076
Avery, William: 1895
Awtrey, Dennis: 76078
Ayon, Gustavo: 202970
Ayres, Jeff: 201965
Azubuike, Kelenna: 101235
Babb, Chris: 203569
Babbitt, Luke: 202337
Babic, Milos: 76079
Bach, Johnny: 76080
Baechtold, Jim: 76081
Bagaric, Dalibor: 2053
Bagley, John: 76082
Bailey, Carl: 76084
Bailey, Gus: 76083
Bailey, James: 76085
Bailey, Thurl: 1847
Bailey, Toby: 1753
Bairstow, Cameron: 203946
Baker, Mark: 1858
Baker, Maurice: 2486
Baker, Norm: 76089
Baker, Vin: 452
Balkman, Renaldo: 200764
Ball, Cedric: 76090
Ballard, Greg: 76091
Baltimore, Herschel: 76092
Banks, Gene: 76093
Banks, Marcus: 2556
Bannister, Ken: 76094
Bantom, Mike: 76095
Barber, John: 76096
Barbosa, Leandro: 2571
Bardo, Stephen: 76097
Barea, Jose Juan: 200826
Bargnani, Andrea: 200745
Barker, Cliff: 76098
Barker, Tom: 76099
Barkley, Charles: 787
Barkley, Erick: 2057
Barksdale, Don: 76102
Barnes, Harrison: 203084
Barnes, Harry: 76103
Barnes, Jim: 76105
Barnes, Marvin: 76104
Barnes, Matt: 2440
Barnett, Dick: 76107
Barnett, Jim: 76106
Barnhill, John: 76108
Barnhill, Norton: 76109
Barnhorst, Leo: 76110
Barr, John: 76111
Barr, Mike: 76112
Barr, Thomas: 76113
Barrett, Andre: 2857
Barrett, Ernie: 76114
Barron, Earl: 2853
Barros, Dana: 344
Barry, Brent: 699
Barry, Drew: 1003
Barry, Jon: 468
Barry, Rick: 600013
Bartels, Ed: 76117
Bartolome, Vic: 76118
Barton, Will: 203115
Basden, Eddie: 101188
Baskerville, Jerry: 76119
Bass, Brandon: 101138
Bassett, Tim: 76120
Baston, Maceo: 1766
Bateer, Mengke: 2370
Bates, Billyray: 76121
Batista, Esteban: 101212
Batiste, Mike: 2471
Battie, Tony: 1499
Battier, Shane: 2203
Battle, John: 174
Battle, Kenny: 76123
Batton, Dave: 76124
Batum, Nicolas: 201587
Baum, Johnny: 76125
Baumholtz, Frankie: 76126
Baxter, Lonny: 2437
Bayless, Jerryd: 201573
Baylor, Elgin: 76127
Baynes, Aron: 203382
Bazarevich, Sergei: 76128
Bazemore, Kent: 203145
Beach, Ed: 76129
Beal, Bradley: 203078
Beard, Butch: 76130
Beard, Ralph: 76131
Beasley, Jerome: 2602
Beasley, Michael: 201563
Beaty, Zelmo: 76133
Beaubois, Rodrigue: 201958
Beck, Byron: 76134
Beck, Corey: 1133
Beck, Ernie: 76136
Becker, Moe: 76137
Bedford, William: 76138
Beenders, Hank: 76139
Behagen, Ron: 76140
Behnke, Elmer: 76141
Belinelli, Marco: 201158
Bell, Charlie: 2294
Bell, Dennis: 76142
Bell, Raja: 1952
Bell, Troy: 2559
Bell, William: 76143
Bellamy, Walt: 76144
Bemoras, Irv: 76145
Benbow, Leon: 76146
Bender, Jonathan: 1886
Benimon, Jerrelle: 203968
Benjamin, Benoit: 104
Benjamin, Corey: 1736
Bennett, Anthony: 203461
Bennett, Elmer: 1120
Bennett, Mario: 712
Bennett, Mel: 76151
Bennett, Tony: 76148
Bennett, Winston: 76152
Benoit, David: 128
Benson, Keith: 202728
Benson, Kent: 76154
Berce, Gene: 76155
Bergen, Gary: 76156
Berry, Ricky: 76157
Berry, Walter: 76158
Beshore, Del: 76159
Best, Travis: 696
Beverley, Patrick: 201976
Bhullar, Sim: 204021
Bianchi, Al: 76160
Biasatti, Hank: 76161
Bibby, Henry: 76162
Bibby, Mike: 1710
Biedenbach, Ed: 76163
Biedrins, Andris: 2740
Bielke, Don: 76164
Bigelow, Bob: 76165
Billups, Chauncey: 1497
Bing, Dave: 76166
Binion, Joe: 76167
Bird, Jerry: 76168
Bird, Larry: 1449
Birdsong, Otis: 76170
Bishop, Gale: 76171
Biyombo, Bismack: 202687
Bjelica, Nemanja: 202357
Blab, Uwe: 76172
Black, Charlie: 76173
Black, Norman: 76174
Black, Tarik: 204028
Black, Tom: 76175
Blackman, Rolando: 76176
Blackwell, Alex: 76180
Blackwell, Cory: 76177
Blackwell, James: 1806
Blackwell, Nate: 76179
Blair, DeJuan: 201971
Blake, Steve: 2581
Blakely, Marqus: 202392
Blalock, Will: 200807
Blaney, George: 76182
Blanks, Lance: 76183
Blanton, Ricky: 76184
Blatche, Andray: 101154
Blaylock, Mookie: 302
Bledsoe, Eric: 202339
Blevins, Leon: 76186
Block, John: 76187
Bloom, Mike: 76188
Blount, Corie: 916
Blount, Mark: 1548
Blue, Vander: 203505
Blume, Ray: 76189
Bobb, Nelson: 76190
Bobbitt, Tony: 2800
Bockhorn, Arlen: 76191
Boerwinkle, Tom: 76192
Bogans, Keith: 2586
Bogdanovic, Bojan: 202711
Bogues, Muggsy: 177
Bogut, Andrew: 101106
Bohannon, Etdrick: 1564
Bol, Manute: 76195
Bolger, Bill: 76196
Bolstorff, Doug: 76197
Bon Salle, George H.: 76203
Bond, Phil: 76198
Bond, Walter: 1603
Boney, Dexter: 1121
Bonham, Ron: 76201
Bonner, Anthony: 41
Bonner, Matt: 2588
Booker, Devin: 1626164
Booker, Melvin: 511
Booker, Trevor: 202344
Boone, Josh: 200767
Boone, Ron: 76204
Booth, Calvin: 1916
Booth, Keith: 1522
Boozer, Bob: 76206
Boozer, Carlos: 2430
Borchardt, Curtis: 2414
Bornheimer, Jake: 76207
Borrell, Lazaro: 1953
Borsavage, Costic: 76209
Boryla, Vince: 76210
Bosh, Chris: 2547
Bostic, Jim: 76211
Boston, Lawrence: 76212
Boswell, Tom: 76213
Boumtje-Boumtje, Ruben: 2257
Boven, Don: 76214
Bowdler, Cal: 1898
Bowen, Bruce: 1477
Bowen, Ryan: 1763
Bowie, Anthony: 194
Bowie, Sam: 76217
Bowman, Ira: 1085
Bowman, Nate: 76219
Boyce, Donnie: 671
Boyd, Dennis: 76221
Boyd, Fred: 76222
Boyd, Ken: 76223
Boykins, Earl: 1863
Boykoff, Harry: 76224
Boynes, Winford: 76225
Bozeman, Cedric: 200841
Bracey, Steve: 76226
Brackins, Craig: 202342
Bradds, Gary: 76227
Bradley, Alex: 76228
Bradley, Alonzo: 76229
Bradley, Avery: 202340
